"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-21,1,42.12,47.6,60.76,25.59,28.92,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-21,2,158.58,179.2,60.76,96.36,108.88,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-11-21,1,91.68,103.6,60.76,55.71,62.95,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-11-17,1,47.78,53.99,60.76,29.03,32.8,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-11-21,-1,-77.88,-88,60.76,-47.32,-53.47,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-11-21,1,77.88,88,60.76,47.32,53.47,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-11-22,1,77.88,88,60.76,47.32,53.47,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922812,春夏芬兰海莓果滋润倍护气泡水130毫升,2020-11-21,-1,-139.82,-158,60.76,-84.96,-96,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922812,春夏芬兰海莓果滋润倍护气泡水130毫升,2020-11-21,1,139.82,158,60.76,84.96,96,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922815,春夏南非复活草三合一恒润保湿乳110毫升,2020-11-18,1,94.34,106.6,60.76,57.32,64.77,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922815,春夏南非复活草三合一恒润保湿乳110毫升,2020-11-20,2,179.69,203.05,60.76,109.18,123.37,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922816,春夏南非复活草恒润保湿霜50克,2020-11-18,1,87.96,99.4,60.76,53.45,60.4,
2020-11-16~2020-11-22,1092183853,上海伽蓝美妆销售有限  ,17472003,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-11-20,2,16.81,19,60.76,10.22,11.54,
