"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-27,1,71.26,80.52,59.52,42.41,47.93,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-27,1,63.06,71.26,59.52,37.53,42.41,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-27,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-21,1,43.36,49,59.52,25.81,29.16,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-22,1,43.36,49,59.52,25.81,29.16,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-27,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100879717,自然堂男士喜马拉雅矿岩控油爽肤水160毫升,2020-12-27,1,87.61,99,59.52,52.15,58.92,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-26,1,52.21,59,59.52,31.08,35.12,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-27,2,84.27,95.22,59.52,50.15,56.67,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,163,991,100879717,自然堂男士喜马拉雅矿岩控油爽肤水160毫升,2020-12-27,2,127.45,144.02,59.52,75.86,85.72,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-22,1,73.5,83.06,59.52,43.75,49.44,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-25,1,73.5,83.06,59.52,43.75,49.44,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-22,1,66.76,75.44,59.52,39.74,44.9,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-25,1,66.76,75.44,59.52,39.74,44.9,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-26,2,118.14,133.5,59.52,70.32,79.46,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-27,1,64.78,73.2,59.52,38.56,43.57,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-24,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-23,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-12-23,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-12-24,1,32.52,36.75,59.52,19.36,21.87,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,175,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-12-27,1,35.66,40.3,59.52,21.23,23.99,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-23,1,79.52,89.86,59.52,47.33,53.48,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-22,1,66.87,75.56,59.52,39.8,44.97,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-24,2,131.41,148.49,59.52,78.21,88.38,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-22,1,60.12,67.93,59.52,35.78,40.43,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-25,3,196.9,222.5,59.52,117.2,132.43,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-26,2,112.42,127.04,59.52,66.92,75.61,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-27,2,76.88,86.88,59.52,45.76,51.71,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-23,1,43.04,48.64,59.52,25.62,28.95,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-26,2,76.08,85.97,59.52,45.28,51.17,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-27,2,70.37,79.52,59.52,41.89,47.33,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-27,1,40.37,45.62,59.52,24.03,27.15,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,284,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-27,2,78.32,88.5,59.52,46.62,52.68,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,289,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-23,2,118.14,133.5,59.52,70.32,79.46,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,289,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-26,1,59.88,67.67,59.52,35.64,40.28,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,289,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-26,1,40.75,46.05,59.52,24.26,27.41,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,289,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-27,2,78.32,88.5,59.52,46.62,52.68,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,291,991,100879010,自然堂男士喜马拉雅龙血能量润肤霜50克,2020-12-26,1,81.4,91.98,59.52,48.45,54.75,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,291,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-26,1,67.72,76.52,59.52,40.31,45.54,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,352,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-23,1,63.06,71.26,59.52,37.53,42.41,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,352,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-25,1,78.76,89,59.52,46.88,52.97,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,352,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-23,1,41.81,47.24,59.52,24.88,28.12,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879010,自然堂男士喜马拉雅龙血能量润肤霜50克,2020-12-25,2,157.96,178.5,59.52,94.02,106.24,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-24,1,73.5,83.06,59.52,43.75,49.44,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-21,-1,-87.61,-99,59.52,-52.15,-58.92,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-21,2,175.22,198,59.52,104.29,117.85,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-24,1,66.76,75.44,59.52,39.74,44.9,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-27,1,87.61,99,59.52,52.15,58.92,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-21,4,236.28,267,59.52,140.64,158.92,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-24,1,43.36,49,59.52,25.81,29.16,
2020-12-21~2020-12-27,1092183851,上海伽蓝美妆销售有限  ,17546034,359,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-24,1,52.21,59,59.52,31.08,35.12,
